中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,11 ms,532 Mbps,68096 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,15 ms,7 Mbps,942 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,47 ms,423 Mbps,54169 kB/s
35.230.79.26,443,35.212.184.110,US,Seattle,隧道,51 ms,432 Mbps,55296 kB/s
34.82.76.253,443,34.105.33.19,US,Seattle,隧道,51 ms,352 Mbps,45158 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,62 ms,333 Mbps,42700 kB/s
129.146.209.97,443,129.146.209.97,US,Los Angeles,中转,48 ms,389 Mbps,49868 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,49 ms,395 Mbps,50585 kB/s
35.197.23.75,443,35.212.184.110,US,Seattle,隧道,52 ms,485 Mbps,62156 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,105 ms,194 Mbps,24883 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,55 ms,393 Mbps,50380 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,107 ms,220 Mbps,28262 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,104 ms,44 Mbps,5713 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,114 ms,187 Mbps,23961 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,151 ms,128 Mbps,16486 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,152 ms,46 Mbps,5918 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,157 ms,47 Mbps,6106 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,146 ms,47 Mbps,6111 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,153 ms,148 Mbps,18944 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,164 ms,47 Mbps,6068 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,178 ms,45 Mbps,5824 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,108 ms,47 Mbps,6038 kB/s
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,214 ms,9 Mbps,1263 kB/s
47.57.13.107,443,8.212.23.141,HK,Hong Kong,隧道,206 ms,12 Mbps,1617 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,176 ms,34 Mbps,4428 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,215 ms,36 Mbps,4673 kB/s
