中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,14 ms,824 Mbps,105472 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,57 ms,469 Mbps,60108 kB/s
34.82.76.253,443,34.105.33.19,US,Seattle,隧道,52 ms,491 Mbps,62873 kB/s
35.230.79.26,443,35.212.167.189,US,Seattle,隧道,67 ms,454 Mbps,58163 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,56 ms,360 Mbps,46080 kB/s
129.146.46.164,443,129.146.46.164,US,298 Mbps,38195 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,50 ms,1 Mbps,157 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,49 ms,396 Mbps,50790 kB/s
35.197.23.75,443,35.212.167.189,US,Seattle,隧道,55 ms,453 Mbps,58060 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,108 ms,46 Mbps,5938 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,115 ms,230 Mbps,29491 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,112 ms,187 Mbps,23961 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,115 ms,183 Mbps,23449 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,103 ms,46 Mbps,5929 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,147 ms,139 Mbps,17817 kB/s
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,163 ms,43 Mbps,5556 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,156 ms,42 Mbps,5415 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,156 ms,40 Mbps,5200 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,160 ms,40 Mbps,5166 kB/s
143.47.182.90,443,163.123.193.3,DE,Frankfurt,隧道,119 ms,119 Mbps,15257 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,193 ms,37 Mbps,4799 kB/s
47.57.13.107,443,8.212.11.54,HK,Hong Kong,隧道,203 ms,1 Mbps,230 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,233 ms,35 Mbps,4572 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,188 ms,32 Mbps,4195 kB/s
