中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
43.153.103.203,443,43.153.103.203,US,San Jose,中转,3 ms,1496 Mbps,191488 kB/s,191488.0
43.153.80.208,443,43.153.80.208,US,San Jose,中转,8 ms,1304 Mbps,166912 kB/s,166912.0
184.169.181.217,443,184.169.181.217,US,San Jose,中转,4 ms,1208 Mbps,154624 kB/s,154624.0
192.9.139.160,443,192.9.139.160,US,San Jose,中转,4 ms,904 Mbps,115712 kB/s,115712.0
34.82.76.253,443,34.105.33.19,US,Seattle,隧道,29 ms,800 Mbps,102400 kB/s,102400.0
35.197.23.75,443,35.212.128.242,US,Seattle,隧道,30 ms,762 Mbps,97587 kB/s,97587.0
23.94.43.51,443,23.94.43.51,US,Seattle,中转,25 ms,664 Mbps,84992 kB/s,84992.0
18.216.55.100,443,18.216.55.100,US,Columbus,中转,54 ms,431 Mbps,55193 kB/s,55193.0
35.230.79.26,443,35.212.128.242,US,Seattle,隧道,26 ms,379 Mbps,48537 kB/s,48537.0
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,21 ms,359 Mbps,45977 kB/s,45977.0
129.146.46.164,443,129.146.46.164,,colo.txt:Los Angeles,中转,0 ms,359 Mbps,45977 kB/s,45977.0
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,107 ms,234 Mbps,30003 kB/s,30003.0
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,120 ms,221 Mbps,28364 kB/s,28364.0
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,161 ms,140 Mbps,17920 kB/s,17920.0
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,172 ms,123 Mbps,15769 kB/s,15769.0
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,169 ms,114 Mbps,14643 kB/s,14643.0
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,183 ms,90 Mbps,11571 kB/s,11571.0
130.162.36.198,443,2606:f240:f00:b2ed:0:4385:b4a4:7472,US,Salt Lake City,隧道,165 ms,85 Mbps,10956 kB/s,10956.0
8.222.156.205,443,8.219.69.217,SG,Singapore,隧道,168 ms,67 Mbps,8585 kB/s,8585.0
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,117 ms,49 Mbps,6311 kB/s,6311.0
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,116 ms,48 Mbps,6163 kB/s,6163.0
158.180.73.138,443,2602:ffe4:407:20da:0:2350:138c:ead,SG,Singapore,隧道,202 ms,47 Mbps,6140 kB/s,6140.0
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,141 ms,45 Mbps,5861 kB/s,5861.0
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,80 ms,43 Mbps,5551 kB/s,5551.0
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,159 ms,43 Mbps,5546 kB/s,5546.0
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,195 ms,43 Mbps,5517 kB/s,5517.0
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,173 ms,38 Mbps,4970 kB/s,4970.0
47.57.13.107,443,8.212.22.216,HK,Hong Kong,隧道,161 ms,13 Mbps,1788 kB/s,1788.0
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,180 ms,8 Mbps,1087 kB/s,1087.0
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,75 ms,6 Mbps,865 kB/s,865.0
