中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,20 ms,86 Mbps,11059 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,7 ms,7 Mbps,917 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,23 ms,592 Mbps,75878 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,57 ms,351 Mbps,44953 kB/s
35.197.23.75,443,35.212.209.228,US,Seattle,隧道,68 ms,319 Mbps,40857 kB/s
34.82.76.253,443,35.185.231.63,US,Seattle,隧道,69 ms,318 Mbps,40755 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,64 ms,386 Mbps,49459 kB/s
129.146.46.164,443,129.146.46.164,US,293 Mbps,37580 kB/s
35.230.79.26,443,35.212.209.228,US,Seattle,隧道,69 ms,272 Mbps,34816 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,90 ms,223 Mbps,28569 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,62 ms,309 Mbps,39628 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,90 ms,228 Mbps,29286 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,92 ms,34 Mbps,4430 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,68 ms,271 Mbps,34713 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,75 ms,293 Mbps,37580 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,97 ms,47 Mbps,6125 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,90 ms,48 Mbps,6269 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,96 ms,48 Mbps,6242 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,176 ms,43 Mbps,5531 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,179 ms,140 Mbps,18022 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,162 ms,125 Mbps,16076 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,177 ms,43 Mbps,5610 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,206 ms,36 Mbps,4675 kB/s
8.219.79.212,443,47.236.51.143,SG,Singapore,隧道,239 ms,54 Mbps,6993 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,222 ms,34 Mbps,4477 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,240 ms,40 Mbps,5202 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,233 ms,51 Mbps,6602 kB/s
158.180.73.138,443,2602:ffe4:407:20da:0:2350:138c:ead,SG,Singapore,隧道,260 ms,32 Mbps,4152 kB/s
47.57.13.107,443,8.212.23.141,HK,Hong Kong,隧道,0 ms,0 Mbps,5 kB/s
