中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
35.230.79.26,443,35.212.184.110,US,Seattle,隧道,35 ms,632 Mbps,80998 kB/s
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,48 ms,332 Mbps,42496 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,47 ms,6 Mbps,798 kB/s
35.197.23.75,443,35.212.184.110,US,Seattle,隧道,33 ms,667 Mbps,85401 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,37 ms,597 Mbps,76492 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,25 ms,832 Mbps,106496 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,38 ms,543 Mbps,69529 kB/s
34.82.76.253,443,34.105.33.19,US,Seattle,隧道,42 ms,760 Mbps,97280 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,45 ms,720 Mbps,92160 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,132 ms,164 Mbps,21094 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,130 ms,46 Mbps,5947 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,117 ms,44 Mbps,5705 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,128 ms,164 Mbps,20992 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,139 ms,190 Mbps,24371 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,123 ms,193 Mbps,24780 kB/s
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,133 ms,45 Mbps,5877 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,150 ms,44 Mbps,5734 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,138 ms,44 Mbps,5669 kB/s
47.57.13.107,443,8.212.23.141,HK,Hong Kong,隧道,177 ms,13 Mbps,1701 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,127 ms,40 Mbps,5155 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,210 ms,37 Mbps,4797 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,220 ms,40 Mbps,5196 kB/s
