中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,10 ms,792 Mbps,101478 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,15 ms,2 Mbps,297 kB/s
35.230.79.26,443,35.212.184.110,US,Seattle,隧道,48 ms,483 Mbps,61849 kB/s
129.146.46.164,443,129.146.46.164,US,316 Mbps,40448 kB/s
35.197.23.75,443,35.212.184.110,US,Seattle,隧道,53 ms,397 Mbps,50892 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,49 ms,436 Mbps,55910 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,52 ms,415 Mbps,53145 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,87 ms,334 Mbps,42803 kB/s
34.82.76.253,443,34.182.31.213,US,Seattle,隧道,49 ms,484 Mbps,62054 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,107 ms,208 Mbps,26726 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,115 ms,169 Mbps,21708 kB/s
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,110 ms,157 Mbps,20172 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,105 ms,52 Mbps,6714 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,143 ms,153 Mbps,19660 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,156 ms,47 Mbps,6016 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,107 ms,48 Mbps,6236 kB/s
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,151 ms,160 Mbps,20480 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,147 ms,46 Mbps,6000 kB/s
144.24.85.97,443,168.107.48.201,KR,Seoul,隧道,186 ms,106 Mbps,13619 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,193 ms,38 Mbps,4897 kB/s
47.57.13.107,443,8.212.23.141,HK,Hong Kong,隧道,206 ms,10 Mbps,1315 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,242 ms,41 Mbps,5361 kB/s
