中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
18.216.55.100,443,18.216.55.100,US,Columbus,中转,184 ms,572 Mbps,73216 kB/s,73216.0
34.82.76.253,443,34.105.33.19,US,Seattle,隧道,56 ms,473 Mbps,60620 kB/s,60620.0
184.169.181.217,443,184.169.181.217,US,San Jose,中转,57 ms,465 Mbps,59596 kB/s,59596.0
35.230.79.26,443,35.212.128.242,US,Seattle,隧道,52 ms,465 Mbps,59596 kB/s,59596.0
192.9.139.160,443,192.9.139.160,US,San Jose,中转,48 ms,407 Mbps,52121 kB/s,52121.0
35.197.23.75,443,35.212.128.242,US,Seattle,隧道,52 ms,405 Mbps,51916 kB/s,51916.0
23.94.43.51,443,23.94.43.51,US,Seattle,中转,51 ms,370 Mbps,47411 kB/s,47411.0
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,112 ms,224 Mbps,28672 kB/s,28672.0
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,63 ms,221 Mbps,28364 kB/s,28364.0
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,113 ms,181 Mbps,23244 kB/s,23244.0
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,149 ms,168 Mbps,21504 kB/s,21504.0
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,109 ms,167 Mbps,21401 kB/s,21401.0
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,150 ms,161 Mbps,20684 kB/s,20684.0
129.213.136.180,443,129.213.136.180,US,Ashburn,中转,17 ms,95 Mbps,12185 kB/s,12185.0
158.180.73.138,443,2602:ffe4:407:20da:0:2350:138c:ead,SG,Singapore,隧道,232 ms,52 Mbps,6681 kB/s,6681.0
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,106 ms,50 Mbps,6473 kB/s,6473.0
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,96 ms,48 Mbps,6166 kB/s,6166.0
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,153 ms,46 Mbps,5979 kB/s,5979.0
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,150 ms,44 Mbps,5703 kB/s,5703.0
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,240 ms,41 Mbps,5334 kB/s,5334.0
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,197 ms,39 Mbps,5075 kB/s,5075.0
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,199 ms,39 Mbps,5063 kB/s,5063.0
47.57.13.107,443,8.212.22.44,HK,Hong Kong,隧道,198 ms,12 Mbps,1579 kB/s,1579.0
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,213 ms,9 Mbps,1239 kB/s,1239.0
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,15 ms,7 Mbps,906 kB/s,906.0
129.146.46.164,443,129.146.46.164,285 Mbps,36556 kB/s,,,,,
